Clip,FilterID,fc,N,Window,E_0_150,E_0_200,E_0_250,E_250_1000,E_1000plus,Retention,Leakage
clip1_bass_drum,fc200_N2000_blackman,200,2000,blackman,0.0225734578151187,0.0266412034896786,0.0266832451389363,1.13882968715469e-06,2.69645307107952e-07,0.977798414602379,0.011420157666444
clip1_bass_drum,fc200_N2000_hamming,200,2000,hamming,0.0226712530882622,0.0269772184617967,0.0270136613820466,1.15262834643857e-06,2.72476584176541e-07,0.990130999620432,0.00955950664999019
clip1_bass_drum,fc200_N2000_hann,200,2000,hann,0.0226075477207493,0.0268982448738173,0.0269358530971937,1.15182578884275e-06,2.71829706250266e-07,0.987232472564339,0.00996025812731622
clip1_bass_drum,fc200_N2000_rectwin,200,2000,rectwin,0.0234315251213952,0.0279509782160752,0.0279823518292755,2.04870489167485e-06,2.81146810292804e-07,1.02587040397227,0.00789963867914015
clip1_bass_drum,fc200_N200_blackman,200,200,blackman,0.0189248649064194,0.0221138680830756,0.0224349044393107,0.00049278743280372,2.30537212750868e-07,0.81163394742038,0.259851489309857
clip1_bass_drum,fc200_N200_hamming,200,200,hamming,0.0175724939802239,0.0202859017714146,0.0205187855865703,0.000278007946441307,2.10062030702593e-07,0.744543038326085,0.162437466673461
clip1_bass_drum,fc200_N200_hann,200,200,hann,0.0181057106098525,0.020999542849363,0.0212629471390977,0.00033968301353854,2.17695910593626e-07,0.77073544044048,0.192040566619151
clip1_bass_drum,fc200_N200_rectwin,200,200,rectwin,0.0140259642005169,0.0156145194228347,0.0156839376975609,2.4699172589183e-05,1.74237348731756e-07,0.573091690183625,0.0290244841794536
clip1_bass_drum,fc200_N500_blackman,200,500,blackman,0.016344923803826,0.0184731673576455,0.0185837053199907,5.40108871112829e-05,1.89697477015662e-07,0.67801117776035,0.0511878641720897
clip1_bass_drum,fc200_N500_hamming,200,500,hamming,0.0179420896063458,0.0202604726813737,0.0203539827098154,2.65941212505972e-05,2.07752495067902e-07,0.743609727489116,0.0367418372078638
