FilterID,fc,N,Window,PassbandRipple_dB,StopbandAtten_dB,TransWidth_Hz,GroupDelay_samples,GroupDelay_ms,BrickwallMSE
fc200_N500_blackman,200,500,blackman,3.33220585757639,41.9927128194452,298.27880859375,250,5.20833333333333,0.000859658075787475
fc200_N500_hamming,200,500,hamming,2.9480786032511,51.6419282170025,227.4169921875,250,5.20833333333333,0.00068302872228558
fc200_N500_hann,200,500,hann,3.17899168367888,44.6619725473315,239.68505859375,250,5.20833333333333,0.000739317416847157
fc200_N500_rectwin,200,500,rectwin,2.25468428861498,28.2135573818377,93.93310546875,250,5.20833333333333,0.000500406239112645
fc200_N50_blackman,200,50,blackman,0.119587654276787,0.752473130687855,2029.72412109375,25,0.520833333333333,0.0265434959993461
fc200_N50_hamming,200,50,hamming,0.190850870150334,1.20620968709649,1511.90185546875,25,0.520833333333333,0.0192297267379431
fc200_N50_hann,200,50,hann,0.15354636521229,0.970780586685741,1484.80224609375,25,0.520833333333333,0.0220362212315975
fc200_N50_rectwin,200,50,rectwin,0.407552592127961,2.69266764483352,697.265625,25,0.520833333333333,0.0116816732308012
fc250_N1000_blackman,250,1000,blackman,1.22538640266337,80.8958624438225,151.79443359375,500,10.4166666666667,0.000438282284318346
fc250_N1000_hamming,250,1000,hamming,0.629567498976024,58.6007361364987,113.525390625,500,10.4166666666667,0.000340751186218521
fc250_N1000_hann,250,1000,hann,0.79937335586105,69.7328971218918,117.5537109375,500,10.4166666666667,0.000363443210030682
fc250_N1000_rectwin,250,1000,rectwin,1.24404357790834,34.9456238847147,52.734375,500,10.4166666666667,0.000218006980126063
fc250_N100_blackman,250,100,blackman,0.704944563094275,4.51783087709927,1079.2236328125,50,1.04166666666667,0.00841706300809491
fc250_N100_hamming,250,100,hamming,1.08422986527051,7.1107787057506,827.81982421875,50,1.04166666666667,0.00532633590714905
fc250_N100_hann,250,100,hann,0.90161539051396,5.95253010204142,798.7060546875,50,1.04166666666667,0.00636851326006369
fc250_N100_rectwin,250,100,rectwin,2.32145118480112,16.3552919586522,388.36669921875,50,1.04166666666667,0.00223947824644053
fc250_N2000_blackman,250,2000,blackman,0.0689678887651303,97.3634469862322,75.98876953125,1000,20.8333333333333,0.000219203860556981
fc250_N2000_hamming,250,2000,hamming,0.0264654549114915,60.6228404251653,56.7626953125,1000,20.8333333333333,0.000169536903565644
fc250_N2000_hann,250,2000,hann,0.0686845981036818,88.1030852568087,58.77685546875,1000,20.8333333333333,0.00018189541477625
fc250_N2000_rectwin,250,2000,rectwin,0.623304002815177,38.3120572983316,24.5361328125,1000,20.8333333333333,0.000102310955580937
fc250_N200_blackman,250,200,blackman,2.22530143608972,14.9708000847559,620.17822265625,100,2.08333333333333,0.00224755558019987
fc250_N200_hamming,250,200,hamming,2.96882031994334,21.887554007743,494.0185546875,100,2.08333333333333,0.00156164873708573
fc250_N200_hann,250,200,hann,2.74682549209184,20.3174091074577,497.13134765625,100,2.08333333333333,0.00168400472541422
fc250_N200_rectwin,250,200,rectwin,5.03083692323344,26.0757331967318,309.08203125,100,2.08333333333333,0.00122430096849343
fc250_N500_blackman,250,500,blackman,2.97448854678377,65.3448964761129,303.03955078125,250,5.20833333333333,0.000875688058247558
fc250_N500_hamming,250,500,hamming,2.37179373015682,53.9753923202342,229.06494140625,250,5.20833333333333,0.000677509759516411
fc250_N500_hann,250,500,hann,2.58945381708993,54.2556364399474,235.107421875,250,5.20833333333333,0.000727975663052693
fc250_N500_rectwin,250,500,rectwin,0.939683971105975,27.3585746922051,95.947265625,250,5.20833333333333,0.000394230388279809
fc250_N50_blackman,250,50,blackman,0.185946173321823,1.17100725618347,2044.189453125,25,0.520833333333333,0.0246989744224222
fc250_N50_hamming,250,50,hamming,0.295842864637587,1.87571998282511,1529.6630859375,25,0.520833333333333,0.0174763071604977
fc250_N50_hann,250,50,hann,0.238679689604369,1.51438320839333,1496.52099609375,25,0.520833333333333,0.0202200305719894
fc250_N50_rectwin,250,50,rectwin,0.63350728484267,4.32016716573631,704.2236328125,25,0.520833333333333,0.00997869964225778
